CUI1	STR1	RELA	STR2	CUI2
C4725553	Spot-on Solution Dosage Form	pharmaceutical_state_of_matter_of	Liquid substance	C0302908
C1272898	SOLVENT FOR PARENTERAL USE	pharmaceutical_transformation_of	Mix (transformation)	C4553942
C0700466	ranitidine hydrochloride	pharmacokinetics_of	Renal Elimination	C1373187
C1863435	ASCL1, 15-BP DEL, NT111	phenotype_of	Congenital central hypoventilation	C1275808
C0016351	fluorometholone	physiologic_effect_of	Decreased Prostaglandin Activity	C1371841
C3669477	Turkey for breeding	physiologic_state_of	Finding related to maturity of sexuality	C0233891
C2146077	travel/residence in Nigeria	place_traveled_from	Nigeria	C0028075
C0454698	Central African country	place_traveled_to	travel/residence in Central Africa	C2146041
C4707888	Therapeutic role	plays_role	Supplementary preparations for parenteral nutrition	C0357170
C0231357	At risk for impaired skin integrity	population_at_risk_for	Extremes of age	C4063083
C2612388	positive regulation of mitochondrial RNA catabolic process	positively_regulated_by	mitochondrial RNA catabolic process	C2612383
C1155688	initial mitotic spindle pole body separation	positively_regulates	positive regulation of mitotic spindle pole body separation	C2611992
C1932626	Cinnyricinclus leucogaster (organism)	possibly_equivalent_to	Cinnyricinclus leucogaster (organism)	C1932626
C1280056	Drainage of cerebral subarachnoid space by incision or trephination	possibly_replaced_by	drainage of intracranial space, subarachnoid or subdural by incision or trephination	C0195851
C0195851	drainage of intracranial space, subarachnoid or subdural by incision or trephination	possibly_replaces	Drainage of cerebral epidural space by incision or trephination	C0195845
C0224529	Structure of occipitomastoid suture of skull	posterior_to	Structure of lateral part of occipital bone	C0222720
C0504050	Anterior wall of right ventricle	posteroinferior_to	Lateral wall of right ventricle	C0504051
C0504050	Anterior wall of right ventricle	posterolateral_to	Septal wall of right ventricle	C0503857
C2334803	Zone 7 of anterior interventricular branch of left coronary artery	posteromedial_to	Zone 9 of anterior interventricular branch of left coronary artery	C2322923
C2325652	Conducting system of interventricular septum	posterosuperior_to	Conducting system of left atrium	C0507614
C1949285	24 HR quetiapine 400 MG Extended Release Oral Tablet	precise_active_ingredient_of	quetiapine fumarate	C0724680
C1127728	glucosamine sulfate 500 MG	precise_ingredient_of	glucosamine sulfate	C0017720
C0580944	Lying blood pressure	precondition_of	Recumbent body position	C0444334
C0705969	celecoxib 100 MG Oral Capsule	presentation_strength_denominator_unit_of	Capsule (unit of presentation)	C4319574
C0687812	allopurinol 100 MG Oral Tablet	presentation_strength_denominator_value_of	One	C0205447
C0687813	allopurinol 300 MG Oral Tablet	presentation_strength_numerator_unit_of	milligram	C0439210
C0975330	cefadroxil 500 MG Oral Capsule	presentation_strength_numerator_value_of	500	C3816747
C2239440	ALKAL1 gene	prev_name_of	ALKAL1 gene	C2239440
C2239440	ALKAL1 gene	prev_symbol_of	ALKAL1 gene	C2239440
C0029551	Other conditions of brain	primary_mapped_from	Other specified disorders of brain	C0477418
C0477418	Other specified disorders of brain	primary_mapped_to	Other conditions of brain	C0029551
C0224429	Structure of piriformis muscle	primary_segmental_supply_of	S1 innervation	C1179704
C0355390	metoclopramide 1 MG/ML Oral Solution	print_name_of	metoclopramide 1 MG/ML Oral Solution	C0355390
C0190043	Open chest cardiac massage	priority_of	Bale out	C0175673
C0564995	Lung adhesions freed	procedure_context_of	Done (qualifier value)	C1272695
C0204414	Partial overdenture	procedure_device_of	Dental Prosthesis	C0162686
C0185634	Open treatment of nasoethmoid fracture; without external fixation	procedure_device_of_excluded	External Fixation Devices	C0079321
C0370925	Open treatment of humeral supracondylar or transcondylar fracture, includes internal fixation, when performed; without intercondylar extension	procedure_device_of_possibly_included	Internal Fixators	C0079635
C0022745	Knee joint	procedure_has_completely_excised_anatomy	Knee Replacement Arthroplasty	C0086511
C0033572	Prostate	procedure_has_excised_anatomy	Radical cystoprostatectomy	C0194412
C0014876	Esophagus	procedure_has_imaged_anatomy	Esophagram	C1318509
C0041967	Urethra	procedure_has_partially_excised_anatomy	Complete cystectomy	C0194401
C0012240	Gastrointestinal system	procedure_has_target_anatomy	Transplantation of liver	C0023911
C0222601	Left breast	procedure_may_have_completely_excised_anatomy	Contralateral Prophylactic Mastectomy	C1705768
C0001625	Adrenal Glands	procedure_may_have_excised_anatomy	Radical nephrectomy	C0401181
C0036628	Seminal Vesicles	procedure_may_have_partially_excised_anatomy	Nerve-Sparing Prostatectomy	C1514120
C0192797	Ileostomy transplantation to new site	procedure_morphology_of	Ileostomy - stoma	C0740114
C2057948	therapeutic ultrasound of palmar aspect of knuckle	procedure_site_of	Metacarpophalangeal joint structure	C0025525
C0370959	Excision or curettage of bone cyst or benign tumor of radius or ulna (excluding head or neck of radius and olecranon process)	procedure_site_of_excluded	Structure of olecranon	C0223710
C0370459	Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 7.6 cm to 12.5 cm	procedure_site_of_possibly_included	Skin structure of scalp and/or neck	C1302802
C0012611	Disaccharides	process_acts_on	Disaccharide intake	C0556136
C1707234	CYP3A4*17 Allele	process_altered_by_allele	Xenobiotic Metabolism	C1154744
C5230788	Estimated quantity of intake of protein and/or protein derivative in 24 hours	process_duration_of	24 Hours	C1442770
C5548423	Structure of lymphatic vessel and/or small blood vessel	process_extends_to	Presence of direct invasion by primary malignant neoplasm to lymphatic vessel and/or small blood vessel	C1269967
C1622499	Myeloid Cell Differentiation	process_includes_biological_process	Tissue Growth	C1621966
C1516332	Negative Regulation of Cell Cycle	process_initiates_biological_process	Intercellular Communication Process	C1154413
C1333366	EXTL1 gene	process_involves_gene	Heparan Sulfate Biosynthesis	C1512406
C0425486	Rate of spontaneous respiration	process_output_of	Entire spontaneous ventilation cycle process	C4302287
C5397389	Whole cell Bordetella pertussis and Corynebacterium diphtheriae toxoid and Clostridium tetani toxoid and Haemophilus influenzae type B capsular polysaccharide conjugated antigens only pediatric vaccine	product_characteristic_of	Childhood	C0231335
C1601966	candesartan Oral Tablet	product_monograph_title_of	Candesartan Cilexetil Tablets	C4720167
C0002708	Amygdaloid structure	projects_from	Ventral segment of uncinate fasciculus	C4242272
C0032639	Pontine structure	projects_to	frontopontine fibers	C1184618
C0523651	gamma-Glutamyltransferase/aspartate amino transferase ratio measurement	property_of	Ratio	C0456603
C0231832	Respiratory rate	property_type_of	Number rate	C1264674
C0227958	Structure of base of prostate	proximal_to	Neck of urinary bladder	C0227716
C1709992	SNP_ID	qualifier_applies_to	SNP_Type	C1709993
C1694579	Diltiazem Hydrochloride 120 MG Extended Release Oral Capsule [Diltzac]	quantified_form_of	24 HR diltiazem hydrochloride 120 MG Extended Release Oral Capsule [Diltzac]	C2684174
C0585186	Cutaneous hypersensitivity	realization_of	Hypersensitivity process	C3532482
C2337762	Wall of left atrioventricular junction	receives_attachment_from	Structure of anulus fibrosus of mitral orifice	C0225947
C0734003	Wall of ileum	receives_drainage_from	Juxta-intestinal lymph node group of ileum	C4254804
C1744544	Structure of medial globus pallidus	receives_input_from	Intralaminar Nuclear Group	C0228349
C4242272	Ventral segment of uncinate fasciculus	receives_projection	Orbital cortex	C3495411
C2586173	Education of parent to support play	recipient_category_of	Family	C0015576
C0190080	Mitral valvotomy	referred_to_by	Commissurotomy of mitral valve	C3472655
C2584774	Congenital hypofibrinogenemia	refers_to	Hereditary factor I deficiency disease	C0019250
C2365246	Modane Reformulated Sep 2008	reformulated_to	Modane	C0026334
C0720375	Fe-Tinic 150	reformulation_of	Fe-Tinic 150 Reformulated Oct 2008	C2365428
C0149925	Small cell carcinoma of lung	regimen_has_accepted_use_for_disease	CAV Regimen (Cytoxan-Adriamycin-Vincristine)	C1096817
C2332453	Bone of right fourth metatarsal bone	regional_part_of	Trabecular bone of right fourth metatarsal bone	C0827628
C2612386	regulation of mitochondrial RNA catabolic process	regulated_by	mitochondrial RNA catabolic process	C2612383
C1155688	initial mitotic spindle pole body separation	regulates	regulation of mitotic spindle pole body separation	C2611991
C4242704	Embryonic secondary palate	related_developmental_entity_of	Right palatal shelf	C4242702
C4060583	Deficient community health	related_factor_of	Inadequate social support for program	C4063034
C1179655	Distal tendon of triceps brachii	related_object	Triceps brachii muscle structure	C0559502
C0922642	Deep part of right masseter	related_part	Structure of right masseter muscle	C0922635
C1456623	Alzheimer's Caregivers	related_to	Caregiver	C0085537
C0812273	SMARCB1 gene	related_to_genetic_biomarker	Loss of INI 1 Protein Expression	C4054594
C0452829	Fat and oil	relative_to	Proportion of energy requirement from fat and oil in 24 hours	C5396984
C0006087	Structure of brachial artery	relative_to_part_of	Ankle brachial pressure index (observable entity)	C1328319
C1324623	first spliceosomal transesterification activity	replaced_by	first U2-type spliceosomal transesterification activity	C1324625
C1324625	first U2-type spliceosomal transesterification activity	replaces	first spliceosomal transesterification activity	C1324623
C0079278	Endoscopy, Gastrointestinal	result_of	Complication	C0009566
C0473670	Primary closed reduction spinal fracture and skull traction stabilization	revision_status_of	Primary operation	C0439631
C0224556	Structure of internasal suture of skull	right_lateral_to	Right nasal bone	C0925968
C0224526	Structure of sagittal suture of skull	right_medial_to	Right parietal bone	C0925353
C4060584	Risk for frail elderly syndrome	risk_factor_of	Activity intolerance	C0231367
C1511989	Disease, Disorder or Finding	role_has_domain	Disease_Has_Metastatic_Anatomic_Site	C1711317
C1708207	Gene_In_Chromosomal_Location	role_has_parent	Allele_In_Chromosomal_Location	C1706772
C0333717	Abnormal cell	role_has_range	Disease_Has_Abnormal_Cell	C1707771
C1709686	Procedure_Has_Imaged_Anatomy	role_is_parent_of	Procedure_Has_Target_Anatomy	C1709688
C0003290	Tricyclic Antidepressive Agents	role_played_by	Antidepressant therapeutic role	C4751289
C0522792	Administration of intravenous fluids	route_of_administration_of	Intravenous Route of Drug Administration	C1522726
C1504189	Transcranial Doppler study of the intracranial arteries; emboli detection without intravenous microbubble injection	route_of_administration_of_excluded	Intravenous Route of Drug Administration	C1522726
C1964039	Vitrectomy, mechanical, pars plana approach; with removal of internal limiting membrane of retina (eg, for repair of macular hole, diabetic macular edema), includes, if performed, intraocular tamponade (ie, air, gas or silicone oil)	route_of_administration_of_possibly_included	Intraocular Route of Drug Administration	C1522223
C0686729	Generalized chronic body pains	same_as	constant generalized pain	C2107745
C0489401	S' wave duration.lead AVR:Time:Pt:Heart:Qn:EKG	scale_of	Quantitative (qualifier value)	C0392762
C2584627	Qualitative measurement of myoglobin in urine	scale_type_of	Qualitative	C0205556
C0224270	Extensor digiti minimi	secondary_segmental_supply_of	C8 innervation	C1305854
C0318798	Paramyxovirus, NOS	see	Parainfluenza virus	C0030393
C0009207	Cockayne Syndrome	see_from	Deafness	C0011053
C0836010	Nerve to flexor hallucis brevis	segmental_composition_of	S1 innervation	C1179704
C0224098	Structure of splenius capitis muscle	segmental_supply_of	C8 innervation	C1305854
C0228365	Structure of terminal stria nuclei of preoptic region	sends_output_to	Structure of ventromedial hypothalamic nucleus	C0042518
C1855773	Psychomotor retardation, profound	severity_of	Severe (severity modifier)	C0205082
C0005775	Blood Circulation	sign_or_symptom_of	Pulse deficit	C0237313
C1373178	Hepatic Metabolism	site_of_metabolism	azathioprine	C0004482
C1561547	Message Waiting Priority - Medium	smaller_than	Low - MessageWaitingPriority	C1619811
C0382839	CD94 Antigen	sort_version_of	CD94 Antigen	C0382839
C0187052	Reduction of closed ulnar styloid fracture	specialty_of	Physicians - Family Practice	C1554769
C0023827	liposarcoma	special_category_includes_neoplasm	Solid Neoplasm	C0280100
C2188724	Urine lipids measurement	specimen_of	Urine - SpecimenType	C1610733
C0373992	Culture, bacterial; any other source except urine, blood or stool, aerobic, with isolation and presumptive identification of isolates	specimen_of_excluded	Blood specimen	C0178913
C1292536	Specimen from breast obtained by complete excision, less than total mastectomy, with axillary contents	specimen_procedure_of	Excision of breast tissue	C0191849
C0444319	Mother's milk specimen	specimen_source_identity_of	Mother (person)	C0026591
C1292573	Specimen from esophagus obtained by excisional biopsy of lesion	specimen_source_morphology_of	Morphologically abnormal structure (morphologic abnormality)	C0332447
C1268461	Bone marrow cytological material	specimen_source_topography_of	Bone Marrow	C0005953
C1268461	Bone marrow cytological material	specimen_substance_of	Bone marrow fluid	C1531614
C1535939	Pneumocystis jiroveci pneumonia	ssc	Fever	C0015967
C0474917	TNM Pancreas tumor staging	stage_of	Tumor stage T2	C0475373
C1705899	Spirit dose form	state_of_matter_of	Liquid (state of matter)	C4521998
C2702402	tomato allergenic extract	structural_class_of	Dietary Proteins	C0012177
C0557140	Lives as companion	subject_of_information_of	Family	C0015576
C0564995	Lung adhesions freed	subject_relationship_context_of	Subject of record	C1444713
C2827949	Predicted Volume of Distribution of Absorbed Fraction	subset_includes_concept	CDISC SDTM Pharmacokinetic Parameter Short Name Terminology	C2827984
C0203619	Radionuclide therapy for glandular suppression	substance_used_by	Radioisotopes	C0034595
C0371291	Repair, tendon, flexor, foot; primary or secondary, without free graft, each tendon	substance_used_by_excluded	Free graft	C0450139
C0370449	Subcutaneous injection of filling material (eg, collagen); 1 cc or less	substance_used_by_possibly_included	collagen	C0009325
C3687723	Pooled cloacal/pharyngeal swab	sub_specimen_included_by	Cloacal swab	C3687785
C0797682	Human papilloma virus 16+18 Ag:PrThr:Pt:Urethra:Ord	suffix_of	Antigens	C0003320
C4245875	Area of insertion of superficial part of masseter in ramus proper	superior_to	Area of insertion in ramus proper of deep part of masseter	C4245874
C2335337	Myocardium of apical inferior zone of right ventricle	superolateral_to	Myocardium of apical lateral zone of right ventricle	C2336648
C2330263	Myocardium of basal septal zone of right ventricle	superomedial_to	Myocardium of basal anterior zone of right ventricle	C2337650
C0551890	Body weight.25th:Prctl:Pt:^Population distribution:Qn:Estimated.pop birth wgt gestational age corr.ref	supersystem_of	Population Distribution	C0032666
C3242329	Trigger Event ID	supported_concept_property_in	internalId	C3244072
C3242329	Trigger Event ID	supported_concept_relationship_in	Generalizes	C4520708
C4708705	Saline-filled textured breast implant	surface_characteristic_of	With texture	C0449582
C4708704	Silicone gel-filled smooth breast implant	surface_texture_of	Smooth	C0205357
C0197737	Extracapsular extraction of cataract by inferior temporal route	surgical_approach_of	Inferior temporal route	C1288263
C0371376	Excision dermoid cyst, nose; complex, under bone or cartilage	surgical_extent_of	Complex	C0439855
C1306538	Total laryngectomy without radical neck dissection	surgical_extent_of_excluded	Radical (qualifier value)	C0439807
C0188169	Open treatment of patellar dislocation, with or without partial or total patellectomy	surgical_extent_of_possibly_included	Total	C0439810
C0922818	Endocardium of outflow part of right ventricle	surrounded_by	Cavity of conus arteriosis	C0503994
C0227613	Right kidney	surrounds	Right renal fascia	C0736782
C0488437	ST slope.lead II:ElpotRat:Pt:Heart:Qn:EKG	system_of	Heart	C0018787
C1706939	Bilateral Prophylactic Oophorectomy	target_anatomy_has_procedure	Genitourinary system	C0042066
C5396775	Clostridium tetani and Corynebacterium diphtheriae toxoids only adult vaccine product	target_population_of	Adult population	C5547366
C1299457	Pulmonary vein mean wedge pressure	technique_of	Wedge pressure technique	C4302701
C0155579	Rheumatic disease of pulmonary valve	temporally_followed_by	Communicable Diseases	C0009450
C0012634	Disease	temporally_follows	Sequelae of respiratory and unspecified tuberculosis	C0348301
C4546042	Perioperative hemorrhage	temporally_related_to	Operative Surgical Procedures	C0543467
C0564995	Lung adhesions freed	temporal_context_of	Current or specified	C1444636
C0035525	ribavirin	therapeutic_class_of	Antiviral Agents	C0003451
C2123612	random urine creatinine measurement	time_aspect_of	Single point in time	C1292424
C0488857	Heart rate:NRat:8H^min:XXX:Qn	time_modifier_of	Minimum	C1524031
C1436532	endothelial PAS domain protein 1, human	tissue_is_expression_site_of_gene_product	Endothelial Cells	C0225336
C0003420	antipyrine	tradename_of	Neotic	C2356095
C4246193	Late blastocyst	transforms_from	Gastrula	C0017199
C1519217	Secondary palate	transforms_into	Fetal secondary palate	C4245733
C0700124	Dilated	treated_by	Dilated lesion	C0940885
C0940885	Dilated lesion	treats	Dilated	C0700124
C0042459	Superior vena cava structure	tributary_of	Common inferior thyroid vein	C0501101
C0036220	Kaposi Sarcoma	uniquely_mapped_from	Kaposi Sarcoma	C0036220
C0036220	Kaposi Sarcoma	uniquely_mapped_to	Kaposi Sarcoma	C0036220
C5192880	Estimated intake of dairy foods servings in 24 hours	units_of	Serving	C1519269
C1363114	24 HR indapamide 1.5 MG Extended Release Oral Tablet	unit_of_presentation_of	Tablet (unit of presentation)	C4319774
C0015957	Fetishism, Psychiatric	use	Fetishism, Psychiatric	C0015957
C0700124	Dilated	used_by	Balloon Dilatation	C0004704
C0015957	Fetishism, Psychiatric	used_for	Fetishism, Psychiatric	C0015957
C0023089	Lasers	uses	Thermal techniques	C0454527
C0183044	Rhinoscope	uses_access_device	Endoscopy of nasal sinus with resection of concha bullosa	C2585193
C0522640	Gigli's wire saw	uses_device	Osteotomy of mandible by Gigli saw	C0185531
C0021431	Infrared Rays	uses_energy	Infrared radiation therapy	C0204032
C0181075	Bone graft - material	uses_excluded_substance	Reconstruction midface, LeFort I; single piece, segment movement in any direction (eg, for Long Face Syndrome), without bone graft	C0370696
C0009325	collagen	uses_possibly_included_substance	Subcutaneous injection of filling material (eg, collagen); 1 cc or less	C0370449
C0028833	octreotide	uses_substance	Single photon emission computed tomography using radiolabeled octreotide	C2314921
C3639122	CDISC Questionnaire EQ-5D-3L Test Name Terminology	value_set_is_paired_with	CDISC Questionnaire EQ-5D-3L Test Code Terminology	C3639123
C0021852	Intestines, Small	venous_drainage_of	Ileal vein	C1301431
C1140170	Alternative Billing Concepts	version_of	Alternative Billing Concepts, 2009	C2366569
C0418208	Accident caused by central electric current	was_a	Accident caused by central electric current	C0418208
C0160543	Open wound of larynx and trachea with complication	wound_has_communication_with	Open injury	C0559870
